country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,0.511,0.511,0.511,0.494,0.494,0.494,0.494,0.497,0.497,0.497,0.497,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.483,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.471,0.471,0.469,0.474,0.474,0.474,0.474,0.474,0.46,0.46,0.46,0.468,0.468,0.483,0.483,0.476,0.469
Colombia,0.324,0.326,0.326,0.308,0.308,0.326,0.326,0.321,0.323,0.323,0.323,0.341,0.341,0.342,0.342,0.404,0.503,0.506,0.506,0.55,0.55,0.554,0.554,0.513,0.513,0.559,0.559,0.613,0.613,0.617,0.617,0.591,0.591,0.591,0.595,0.605,0.614,0.614,0.612,0.631,0.635,0.626,0.626,0.559
"Congo, Dem. Rep.",0.179,0.179,0.151,0.151,0.151,0.196,0.196,0.212,0.212,0.207,0.207,0.207,0.222,0.222,0.222,0.262,0.262,0.28,0.358,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.356,0.384,0.384,0.375,0.375,0.387,0.371,0.371,0.401,0.401,0.429,0.431,0.431,0.465,0.485,0.492
"Congo, Rep.",0.229,0.234,0.237,0.237,0.239,0.239,0.239,0.239,0.239,0.298,0.298,0.303,0.303,0.303,0.312,0.323,0.307,0.313,0.26,0.264,0.264,0.264,0.298,0.313,0.313,0.313,0.313,0.324,0.338,0.338,0.338,0.338,0.325,0.325,0.325,0.325,0.325,0.377,0.42,0.425,0.425,0.425,0.45,0.497
Costa Rica,0.445,0.445,0.445,0.467,0.51,0.51,0.51,0.456,0.456,0.458,0.458,0.517,0.572,0.596,0.596,0.691,0.723,0.723,0.723,0.736,0.736,0.736,0.736,0.76,0.76,0.798,0.798,0.833,0.833,0.833,0.833,0.865,0.865,0.865,0.933,0.917,0.917,0.917,0.895,0.913,0.913,0.913,0.9,0.918
Cote d'Ivoire,0.319,0.319,0.319,0.323,0.323,0.309,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.348,0.348,0.348,0.348,0.398,0.448,0.448,0.448,0.448,0.448,0.503,0.475,0.475,0.475,0.475,0.479,0.479,0.479,0.479,0.479,0.55,0.533,0.533,0.574,0.574,0.566,0.566,0.533,0.527
Croatia,,,,,,,,,,,,,,,,,0.458,0.499,0.499,0.499,0.534,0.534,0.576,0.576,0.576,0.716,0.719,0.719,0.719,0.674,0.674,0.674,0.691,0.691,0.696,0.708,0.702,0.702,0.675,0.675,0.642,0.644,0.641,0.641
Cuba,0.445,0.479,0.479,0.479,0.594,0.594,0.594,0.594,0.598,0.598,0.598,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.61,0.614,0.614,0.614,0.614,0.628,0.632,0.632,0.632,0.632,0.636,0.636,0.64,0.64,0.64,0.648,0.648,0.641,0.645,0.645,0.685,0.685,0.685,0.699,0.699,0.699
Cyprus,0.358,0.358,0.366,0.366,0.381,0.41,0.42,0.42,0.42,0.42,0.415,0.42,0.42,0.42,0.42,0.472,0.501,0.501,0.534,0.534,0.534,0.501,0.507,0.507,0.507,0.552,0.569,0.569,0.597,0.613,0.613,0.633,0.633,0.625,0.62,0.625,0.661,0.639,0.633,0.639,0.639,0.639,0.655,0.657
Czech Republic,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.465,0.465,0.465,0.465,0.488,0.488,0.488,0.491,0.632,0.632,0.618,0.622,0.622,0.627,0.639,0.639,0.639,0.639,0.644,0.644,0.666,0.666,0.666,0.666,0.663,0.663,0.663,0.663,0.665,0.665,0.665,0.652,0.652,0.652,0.652,0.697,0.702
Denmark,0.73,0.73,0.735,0.735,0.761,0.761,0.767,0.767,0.767,0.797,0.797,0.797,0.782,0.789,0.789,0.854,0.854,0.854,0.854,0.894,0.894,0.894,0.9,0.919,0.919,0.919,0.898,0.898,0.898,0.906,0.892,0.892,0.906,0.906,0.906,0.906,0.927,0.927,0.918,0.918,0.883,0.883,0.883,0.883
Dominican Republic,0.349,0.349,0.356,0.374,0.405,0.418,0.418,0.387,0.387,0.392,0.392,0.388,0.388,0.388,0.392,0.428,0.428,0.428,0.433,0.486,0.486,0.47,0.555,0.567,0.567,0.567,0.567,0.571,0.571,0.573,0.577,0.581,0.589,0.602,0.602,0.61,0.61,0.643,0.65,0.65,0.643,0.652,0.652,0.652
Ecuador,0.113,0.113,0.113,0.113,0.23,0.282,0.282,0.284,0.284,0.281,0.281,0.268,0.268,0.289,0.289,0.301,0.301,0.315,0.315,0.312,0.312,0.359,0.339,0.43,0.433,0.463,0.463,0.463,0.463,0.465,0.465,0.461,0.493,0.534,0.539,0.542,0.592,0.592,0.624,0.624,0.629,0.742,0.728,0.728
Egypt,0.243,0.236,0.236,0.236,0.27,0.27,0.27,0.282,0.286,0.295,0.295,0.295,0.278,0.278,0.278,0.272,0.275,0.275,0.283,0.283,0.276,0.298,0.298,0.298,0.301,0.307,0.307,0.307,0.307,0.307,0.284,0.284,0.284,0.284,0.284,0.324,0.361,0.362,0.34,0.36,0.363,0.363,0.37,0.379
El Salvador,0.308,0.308,0.308,0.315,0.344,0.399,0.399,0.412,0.412,0.412,0.412,0.412,0.412,0.426,0.426,0.429,0.419,0.447,0.43,0.465,0.465,0.465,0.478,0.478,0.478,0.462,0.462,0.462,0.468,0.477,0.477,0.498,0.498,0.498,0.513,0.517,0.517,0.525,0.497,0.487,0.485,0.485,0.492,0.486
Equatorial Guinea,0.236,0.236,0.236,0.236,0.23,0.292,0.282,0.32,0.32,0.334,0.334,0.334,0.334,0.337,0.337,0.337,0.337,0.337,0.362,0.357,0.357,0.371,0.375,0.375,0.373,0.373,0.373,0.35,0.35,0.379,0.383,0.383,0.383,0.356,0.387,0.387,0.387,0.369,0.388,0.389,0.393,0.408,0.409,0.374
Eritrea,,,,,,,,,,,,,,,,,,,0.228,0.289,0.289,0.289,0.289,0.289,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.294,0.299,0.299,0.299,0.323,0.299,0.323
Estonia,,,,,,,,,,,,,,,,,0.802,0.804,0.813,0.813,0.81,0.81,0.81,0.81,0.797,0.797,0.797,0.797,0.801,0.801,0.801,0.801,0.819,0.819,0.826,0.826,0.801,0.807,0.731,0.726,0.745,0.782,0.774,0.774
Ethiopia,0.222,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.269,0.193,0.193,0.193,0.252,0.275,0.275,0.352,0.359,0.352,0.352,0.357,0.357,0.39,0.39,0.39,0.39,0.39,0.415,0.415,0.415,0.415,0.415,0.424,0.424,0.424,0.431,0.434,0.433,0.459,0.445,0.478
Finland,0.692,0.695,0.695,0.695,0.711,0.737,0.741,0.741,0.731,0.731,0.731,0.731,0.753,0.753,0.753,0.753,0.792,0.799,0.799,0.799,0.829,0.886,0.886,0.898,0.898,0.898,0.898,0.898,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.937,0.937,0.937,0.937,0.937,0.937,0.937,0.925,0.925
France,0.565,0.569,0.569,0.589,0.589,0.589,0.605,0.605,0.605,0.605,0.605,0.583,0.583,0.611,0.611,0.723,0.723,0.723,0.707,0.707,0.751,0.751,0.757,0.801,0.801,0.808,0.808,0.8,0.8,0.8,0.8,0.8,0.854,0.854,0.854,0.854,0.854,0.949,0.905,0.905,0.905,0.905,0.94,0.94
Gabon,0.334,0.334,0.337,0.337,0.337,0.368,0.371,0.371,0.374,0.374,0.378,0.378,0.378,0.378,0.378,0.4,0.519,0.519,0.519,0.519,0.519,0.509,0.521,0.522,0.522,0.522,0.532,0.532,0.532,0.532,0.515,0.557,0.564,0.564,0.568,0.568,0.564,0.539,0.574,0.574,0.574,0.577,0.59,0.603
Gambia,0.291,0.291,0.312,0.312,0.312,0.312,0.312,0.338,0.338,0.338,0.338,0.338,0.346,0.346,0.35,0.35,0.35,0.359,0.35,0.395,0.431,0.438,0.431,0.431,0.431,0.431,0.431,0.47,0.446,0.467,0.469,0.471,0.462,0.455,0.451,0.451,0.45,0.45,0.449,0.453,0.453,0.454,0.473,0.495
Georgia,,,,,,,,,,,,,,,,,0.533,0.557,0.558,0.558,0.557,0.557,0.557,0.557,0.569,0.574,0.574,0.574,0.574,0.614,0.632,0.632,0.632,0.603,0.601,0.605,0.605,0.586,0.617,0.617,0.654,0.665,0.678,0.651
Germany,0.572,0.574,0.574,0.574,0.574,0.595,0.599,0.599,0.602,0.602,0.602,0.602,0.63,0.63,0.633,0.684,0.684,0.684,0.684,0.689,0.689,0.693,0.693,0.769,0.807,0.807,0.807,0.832,0.832,0.832,0.89,0.89,0.89,0.89,0.894,0.894,0.894,0.894,0.872,0.872,0.872,0.872,0.857,0.831
Ghana,0.343,0.347,0.347,0.347,0.374,0.379,0.379,0.402,0.395,0.395,0.395,0.402,0.402,0.406,0.406,0.406,0.406,0.424,0.554,0.554,0.554,0.554,0.554,0.556,0.556,0.565,0.539,0.539,0.539,0.545,0.545,0.545,0.545,0.557,0.557,0.559,0.559,0.568,0.558,0.558,0.551,0.576,0.628,0.628
