sample_id,cluster_id,cluster_color,tsne_x,tsne_y
LS-14696_S42_E1-50,51,#A6E6A9,-12.5775536113753,-45.1913565770317
LS-14696_S43_E1-50,51,#A6E6A9,-4.13331829772901,-43.3617047608792
LS-14696_S44_E1-50,52,#7AE6AB,-5.20097547771771,-35.6684528543136
LS-14696_S45_E1-50,50,#D9F077,-12.2676374740859,-45.7878539597381
LS-14696_S46_E1-50,52,#7AE6AB,-6.06204795900982,-36.5235102782324
LS-14696_S47_E1-50,52,#7AE6AB,-13.7837132488528,-41.6894169803714
LS-14696_S48_E1-50,52,#7AE6AB,-7.61748705072603,-35.7644631938865
LS-14696_S50_E1-50,56,#00979D,-44.3102597707357,24.5277780230384
LS-14696_S51_E1-50,56,#00979D,-33.7840499456153,10.5000515343573
LS-14696_S52_E1-50,56,#00979D,-38.3449696754029,8.78558297392274
LS-14696_S53_E1-50,56,#00979D,-46.6281938742334,8.4618587311492
LS-14696_S54_E1-50,56,#00979D,-47.0787058699712,6.85775822621776
LS-14696_S55_E1-50,56,#00979D,-41.191104631624,10.3226886740275
LS-14696_S56_E1-50,56,#00979D,-42.4440007764631,0.41412971389114
LS-14696_S57_E1-50,56,#00979D,-47.5556931705977,7.94421770409103
LS-14696_S58_E1-50,56,#00979D,-39.9760607843493,25.5059350312516
LS-14696_S59_E1-50,56,#00979D,-37.563670714476,24.2657575907068
LS-14696_S60_E1-50,56,#00979D,-38.3934404761945,15.364036487854
LS-14696_S61_E1-50,56,#00979D,-46.4779269925583,3.69689750570946
LS-14696_S62_E1-50,56,#00979D,-39.4627820491842,9.88105434102873
LS-14696_S63_E1-50,56,#00979D,-46.1453726817212,13.4745943084552
LS-14696_S64_E1-50,56,#00979D,-42.0148489456669,6.77356148958198
LS-14696_S65_E1-50,61,#26BF64,-15.5726802809006,3.68657060060608
LS-14696_S66_E1-50,82,#008F39,10.1246994515388,51.8080997456064
LS-14696_S67_E1-50,59,#00A809,-19.7848564095053,11.474517831868
LS-14696_S68_E1-50,19,#FF00FF,-21.072799736976,32.4119128321819
LS-14696_S69_E1-50,84,#73CA95,4.80916332993427,56.0394712602134
LS-14696_S70_E1-50,84,#73CA95,2.3063589470521,54.0285108620645
LS-14696_S71_E1-50,6,#FFA388,29.2256914580762,27.3667223540224
LS-14696_S72_E1-50,59,#00A809,-25.1088628267154,7.82335050126194
LS-14696_S73_E1-50,33,#BF480D,18.0461035980077,-15.3442946620395
LS-14696_S74_E1-50,34,#804811,25.9625749869815,-11.6631163105497
LS-14696_S75_E1-50,77,#00A863,43.640092502912,-28.5605923663028
LS-14696_S76_E1-50,82,#008F39,10.0208271540222,52.4148772257613
LS-14696_S77_E1-50,17,#9FAAFF,-24.5458552127613,24.8418666601973
LS-14696_S78_E1-50,28,#FF9F2C,5.13647598865486,-27.8556173832039
LS-14696_S79_E1-50,57,#00DDC5,-30.938409543965,15.5665163491671
LS-14696_S80_E1-50,22,#FF4DC1,-2.78962136734135,36.8785484425746
LS-14696_S81_E1-50,90,#74CAFF,-33.6749802358809,-19.7157870578225
LS-14696_S82_E1-50,90,#74CAFF,-41.7100555782444,-25.1365249723739
LS-14696_S83_E1-50,91,#69A8E6,-39.9905371906805,-27.9303001135338
LS-14696_S84_E1-50,92,#578EBF,-29.1650319641056,-22.0336029362999
LS-14696_S85_E1-50,69,#A19922,-25.1272877325972,-3.49609718714754
LS-14696_S86_E1-50,91,#69A8E6,-34.1184996490595,-24.7388839251882
LS-14696_S87_E1-50,70,#C2E32C,-37.3307702225443,-7.63019746228389
LS-14696_S88_E1-50,71,#96E32C,-38.2639944853468,-6.40058890452973
LS-14696_S89_E1-50,90,#74CAFF,-42.5541481493906,-20.0001044992827
LS-14696_S90_E1-50,92,#578EBF,-31.8089045284779,-24.8050802116909
LS-14696_S91_E1-50,70,#C2E32C,-33.5052397275917,-11.9528680727417
LS-14696_S92_E1-50,91,#69A8E6,-33.3868940804604,-22.5089140435972
LS-14696_S93_E1-50,90,#74CAFF,-33.2434107325239,-20.0972754613912
LS-14696_S94_E1-50,70,#C2E32C,-31.7595604753576,-0.986712234518689
LS-14696_S95_E1-50,69,#A19922,-19.4073400644056,-12.0327445881542
