Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
489,20,68,4,20,The General's Daughter (Paramount),6/18/99,Jun,102705012.00,1999
490,186,27,37,8,The Aviator (2004) (Miramax),12/17/04,Dec,102610027.00,2004
491,74,48,14,12,American Pie (Universal),7/9/99,Jul,102561837.00,1999
492,96,117,9,27,Daredevil (Fox),2/14/03,Feb,102543261.00,2003
493,188,30,34,9,The Girl with the Dragon Tattoo (2011) (Sony / Columbia),12/20/11,Dec,102515793.00,2011
494,22,146,3,32,The Mummy: Tomb of the Dragon Emperor (Universal),8/1/08,Aug,102491956.00,2008
495,41,2,6,1,In the Line of Fire (Columbia),7/9/93,Jul,102314245.00,1993
496,40,5,3,3,Butch Cassidy and the Sundance Kid (Fox),9/23/69,Sep,102308525.00,1969
497,39,0,3,0,Mary Poppins (Disney),8/29/64,Aug,102272145.00,1964
498,94,61,24,9,Journey to the Center of the Earth (Warner Bros. / New Line),7/11/08,Jul,101704710.00,2008
499,33,101,8,28,Gone in 60 Seconds (Disney),6/9/00,Jun,101648004.00,2000
500,28,10,7,0,Maverick (Warner Bros.),5/20/94,May,101641292.00,1994
501,7,25,1,7,Sleeping with the Enemy (Fox),2/8/91,Feb,101599971.00,1991
502,47,132,8,25,Eagle Eye (Paramount / DreamWorks),9/26/08,Sep,101440408.00,2008
503,66,18,18,7,The Prince of Egypt (DreamWorks),12/18/98,Dec,101413697.00,1998
504,59,14,17,1,Scream 2 (Miramax / Dimension),12/12/97,Dec,101363250.00,1997
505,10,5,0,1,Stir Crazy (Columbia),12/12/80,Dec,101300186.00,1980
506,16,29,5,7,Eraser (Warner Bros.),6/21/96,Jun,101295479.00,1996
507,58,2,9,2,Unforgiven (Warner Bros.),8/7/92,Aug,101157573.00,1992
508,16,134,5,33,Dr. Seuss' The Cat in the Hat (Universal),11/21/03,Nov,101149243.00,2003
509,34,28,3,9,Con Air (Disney),6/6/97,Jun,101117443.00,1997
510,85,41,20,10,Sleepy Hollow (Paramount),11/19/99,Nov,101071535.00,1999
511,194,31,37,8,Collateral (DreamWorks),8/6/04,Aug,101005089.00,2004
512,39,23,8,10,Contact (Warner Bros.),7/11/97,Jul,100920014.00,1997
513,76,99,17,22,Charlie's Angels: Full Throttle (Sony / Columbia),6/27/03,Jun,100830600.00,2003
514,25,23,3,4,The Pelican Brief (Warner Bros.),12/17/93,Dec,100768871.00,1993
515,66,97,9,25,Vanilla Sky (Paramount),12/14/01,Dec,100618362.00,2001
516,72,110,14,20,Due Date (Warner Bros.),11/5/10,Nov,100539043.00,2010
517,29,20,8,4,The Rugrats Movie (Paramount),11/20/98,Nov,100494124.00,1998
518,206,19,39,2,Million Dollar Baby (Warner Bros.),12/15/04,Dec,100492507.00,2004
519,12,3,0,1,Airport (Universal),3/5/70,Mar,100489626.00,1970
520,16,16,2,4,Jumanji (Sony / TriStar),12/15/95,Dec,100475644.00,1995
521,99,81,17,19,Step Brothers (Sony / Columbia),7/25/08,Jul,100468110.00,2008
522,45,148,4,37,Evan Almighty (Universal),6/22/07,Jun,100462174.00,2007
523,16,20,3,7,Casper (Universal),5/26/95,May,100328606.00,1995
524,95,7,23,2,Shakespeare in Love (Miramax),12/11/98,Dec,100317300.00,1998
525,76,96,10,26,Bad Teacher (Sony / Columbia),6/24/11,Jun,100292856.00,2011
526,13,85,3,14,Yogi Bear (Warner Bros.),12/17/10,Dec,100246011.00,2010
527,103,130,20,20,Cowboys & Aliens (Universal),7/29/11,Jul,100240551.00,2011
528,46,8,11,6,Seven (New Line),9/22/95,Sep,100192215.00,1995
529,36,13,9,6,The Hunchback of Notre Dame (Disney),6/21/96,Jun,100138341.00,1996
530,37,3,7,0,Parenthood (Universal),8/2/89,Aug,100047300.00,1989
531,67,116,15,23,You Don't Mess with the Zohan (Sony / Columbia),6/6/08,Jun,100018509.00,2008
532,23,22,6,5,Die Hard: With A Vengeance (Fox),5/19/95,May,100012089.00,1995
533,3,9,1,0,Hope Springs (2003) (Buena Vista),9/5/03,Sep,100000000.00,2003
534,65,52,13,11,Gnomeo and Juliet (Disney),2/11/11,Feb,99967670.00,2011
535,41,8,10,3,Hercules (1997) (Disney),6/15/97,Jun,99112451.00,1997
536,99,126,9,30,The Green Hornet (Sony / Columbia),1/14/11,Jan,98780042.00,2011
537,146,72,26,11,Date Night (Fox),4/9/10,Apr,98711404.00,2010
538,23,3,1,0,The Color Purple (Warner Bros.),12/20/85,Dec,98467390.00,1985
539,90,46,19,13,Meet the Robinsons (Disney),3/30/07,Mar,97822001.00,2007
540,69,83,13,19,Yes Man (Warner Bros.),12/19/08,Dec,97690540.00,2008
541,13,49,4,17,Inspector Gadget (Disney),7/23/99,Jul,97404796.00,1999
542,174,84,27,16,Public Enemies (Universal),7/1/09,Jul,97104669.00,2009
543,269,11,46,0,The Social Network (Sony / Columbia),10/1/10,Oct,96962694.00,2010
544,123,24,22,12,The Others (Miramax),8/10/01,Aug,96522181.00,2001
545,94,44,20,13,Legally Blonde (MGM),7/13/01,Jul,96520568.00,2001
546,138,42,25,10,Panic Room (Sony / Columbia),3/29/02,Mar,96397271.00,2002
547,58,2,10,0,Schindler's List (Universal),12/15/93,Dec,96065548.00,1993
548,45,8,4,3,Dead Poets Society (Disney),6/2/89,Jun,95860927.00,1989
549,11,112,2,28,Norbit (Paramount / DreamWorks),2/9/07,Feb,95673892.00,2007
550,158,65,38,5,Cold Mountain (Miramax),12/25/03,Dec,95636667.00,2003
551,27,3,4,1,Arthur (1981) (Orion),7/17/81,Jul,95461724.00,1981
552,13,23,2,7,Michael (1996) (New Line),12/25/96,Dec,95365052.00,1996
553,30,168,3,33,Sex and the City 2 (Warner Bros. / New Line),5/27/10,May,95347692.00,2010
554,30,84,10,18,The Princess Diaries 2: Royal Engagement (Disney),8/11/04,Aug,95170184.00,2004
555,108,51,19,15,Unbreakable (Disney),11/22/00,Nov,95011031.00,2000
556,92,99,16,20,The Book of Eli (Warner Bros.),1/15/10,Jan,94835000.00,2010
557,12,132,3,27,"10,000 B.C. (Warner Bros.)",3/7/08,Mar,94784291.00,2008
558,39,57,9,10,Beverly Hills Chihuahua (Disney),10/3/08,Oct,94516544.00,2008
559,84,10,14,1,The Lion King 3D (Disney),9/16/11,Sep,94242001.00,2011
560,159,53,35,11,Julie & Julia (Sony / Columbia),8/7/09,Aug,94237229.00,2009
561,35,4,3,1,Saturday Night Fever (Paramount),12/16/77,Dec,94213584.00,1977
562,56,12,11,3,The Mask of Zorro (Sony / TriStar),7/17/98,Jul,94095106.00,1998
563,57,88,10,23,Maid in Manhattan (Sony / Columbia),12/13/02,Dec,94011090.00,2002
564,65,92,12,27,He's Just Not That Into You (Warner Bros. / New Line),2/6/09,Feb,93953147.00,2009
565,175,32,39,3,Master and Commander: The Far Side of the World (Fox),11/14/03,Nov,93927903.00,2003
566,209,22,32,6,The Fighter (Paramount),12/10/10,Dec,93617009.00,2010
567,45,98,7,31,America's Sweethearts (Sony / Columbia),7/20/01,Jul,93607436.00,2001
568,68,100,9,28,The Bucket List (Warner Bros.),12/25/07,Dec,93466104.00,2007
569,62,53,12,19,Cats & Dogs (Warner Bros.),7/4/01,Jul,93385991.00,2001
570,50,70,10,21,Two Weeks Notice (Warner Bros.),12/20/02,Dec,93354363.00,2002
571,126,58,20,16,Red Dragon (Universal),10/4/02,Oct,93149728.00,2002
572,7,24,2,5,Flubber (Disney),11/26/97,Nov,92993178.00,1997
573,10,25,1,4,Flashdance (Paramount),4/15/83,Apr,92921550.00,1983
574,43,4,6,2,When Harry Met Sally... (Columbia),7/12/89,Jul,92823951.00,1989
575,198,13,35,3,The Town (Warner Bros.),9/17/10,Sep,92186262.00,2010
576,28,7,5,2,The Client (Warner Bros.),7/20/94,Jul,92115614.00,1994
577,48,4,12,1,Star Trek: First Contact (Paramount),11/22/96,Nov,92027176.00,1996
578,51,44,15,13,Think Like a Man (Sony / Screen Gems),4/20/12,Apr,91547205.00,2012
579,17,17,3,4,Kindergarten Cop (Universal),12/21/90,Dec,91457397.00,1990
580,15,74,3,21,The Haunting (DreamWorks),7/23/99,Jul,91411066.00,1999
581,40,6,10,1,Crimson Tide (Disney),5/12/95,May,91387359.00,1995
582,21,2,3,0,Back to School (Orion),6/13/86,Jun,91258863.00,1986
583,24,31,8,9,Stepmom (Sony / TriStar),12/25/98,Dec,91137264.00,1998
584,51,46,18,13,Save the Last Dance (Paramount),1/12/01,Jan,91057291.00,2001
585,54,79,8,20,The Scorpion King (Universal),4/19/02,Apr,91047236.00,2002
586,38,4,4,1,The Karate Kid (1984) (Columbia),6/22/84,Jun,90815022.00,1984
587,76,139,10,25,Prince of Persia: The Sands of Time (Disney),5/28/10,May,90759676.00,2010
588,84,4,23,1,Antz (DreamWorks),10/2/98,Oct,90757069.00,1998
