Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
693,7,9,0,0,Police Academy (Warner Bros.),3/23/84,Mar,81198403.00,1984
694,19,61,4,15,Snow Dogs (Disney),1/18/02,Jan,81172036.00,2002
695,58,106,8,24,21 (Sony / Columbia),3/28/08,Mar,81159618.00,2008
696,37,6,11,2,While You Were Sleeping (Disney),4/21/95,Apr,81080198.00,1995
697,9,34,1,12,Congo (Paramount),6/9/95,Jun,81022888.00,1995
698,80,74,18,20,The Notebook (New Line),6/25/04,Jun,81001326.00,2004
699,56,19,12,6,Jimmy Neutron: Boy Genius (Paramount),12/21/01,Dec,80936187.00,2001
700,85,3,13,3,Alien (Fox),5/25/79,May,80931087.00,1979
701,4,17,0,2,Another 48 HRS. (Paramount),6/8/90,Jun,80818539.00,1990
702,38,3,6,1,Moonstruck (MGM),12/16/87,Dec,80640773.00,1987
703,71,122,14,23,Eat Pray Love (Sony / Columbia),8/13/10,Aug,80574010.00,2010
704,55,98,6,28,The Texas Chainsaw Massacre (2003) (New Line),10/17/03,Oct,80571616.00,2003
705,17,106,4,22,Zookeeper (Sony / Columbia),7/8/11,Jul,80360866.00,2011
706,30,111,1,24,Alien Vs. Predator (Fox),8/13/04,Aug,80282078.00,2004
707,36,95,9,24,What Happens in Vegas (Fox),5/9/08,May,80277334.00,2008
708,22,143,8,30,The Dukes of Hazzard (Warner Bros.),8/5/05,Aug,80270239.00,2005
709,40,20,8,4,The Wedding Singer (New Line),2/13/98,Feb,80245004.00,1998
710,23,62,1,17,Saw III (Lionsgate),10/27/06,Oct,80238282.00,2006
711,117,55,24,12,Disturbia (Paramount / DreamWorks),4/13/07,Apr,80209993.00,2007
712,66,98,13,24,Nacho Libre (Paramount),6/16/06,Jun,80197124.00,2006
713,26,136,1,37,Jumper (Fox),2/14/08,Feb,80172510.00,2008
714,151,45,26,10,Cloverfield (Paramount),1/18/08,Jan,80048167.00,2008
715,19,15,3,1,Footloose (1984) (Paramount),2/17/84,Feb,80035796.00,1984
716,39,96,6,24,Dear John (Sony / Screen Gems),2/5/10,Feb,80014842.00,2010
717,5,8,0,1,A Star Is Born (1976) (Warner Bros.),12/17/76,Dec,80000605.00,1976
718,46,2,6,0,Fantasia (Disney / RKO),11/13/40,Nov,80000076.00,1940
