Country,Beverage Types,2016,2015,2014,2013,2012,2011,2010
Belgium, All types,,10.36,10.57,10.33,10.09,10.14,10.27
Belgium, Beer,,4.6,4.72,4.6,4.78,4.89,5.03
Belgium, Wine,,3.97,3.97,3.87,3.72,3.71,3.72
Belgium, Spirits,,1.47,1.47,1.42,1.54,1.49,1.48
Belgium, Other alcoholic beverages,,0.32,0.41,0.44,0.05,0.05,0.05
Belize, All types,,6.2,6.17,6.17,6.28,6.26,6.38
Belize, Beer,,4.29,4.18,4.18,4.21,4.26,4.35
Belize, Wine,,0.12,0.15,0.17,0.2,0.14,0.13
Belize, Spirits,,1.65,1.69,1.68,1.72,1.71,1.75
Belize, Other alcoholic beverages,,0.14,0.14,0.15,0.16,0.15,0.15
Benin, All types,,1.55,1.6,1.45,1.42,1.44,1.37
Benin, Beer,,0.99,1,0.88,0.95,0.79,0.67
Benin, Wine,,0.15,0.19,0.15,0.13,0.22,0.25
Benin, Spirits,,0.2,0.2,0.2,0.14,0.16,0.16
Benin, Other alcoholic beverages,,0.21,0.21,0.21,0.2,0.28,0.29
Bhutan, All types,,,,0.19,0.4,0.18,1.16
Bhutan, Beer,,,,0.09,0.13,0.03,1.06
Bhutan, Wine,,,,0.01,0.01,0,0.02
Bhutan, Spirits,,,,0.1,0.26,0.15,0.08
Bhutan, Other alcoholic beverages,,,,0,0,0,0
Bolivia (Plurinational State of), All types,3.57,3.61,3.69,3.73,3.82,3.86,3.9
Bolivia (Plurinational State of), Beer,2.6,2.65,2.7,2.69,2.77,2.85,2.97
Bolivia (Plurinational State of), Wine,0.15,0.15,0.16,0.17,0.22,0.24,0.22
Bolivia (Plurinational State of), Spirits,0.76,0.76,0.77,0.77,0.75,0.73,0.69
Bolivia (Plurinational State of), Other alcoholic beverages,0.06,0.06,0.05,0.05,0.04,0.04,0.02
Bosnia and Herzegovina, All types,4.44,4.33,4.34,4.43,4.69,4.65,4.5
Bosnia and Herzegovina, Beer,3.37,3.28,3.2,3.28,3.5,3.43,3.33
Bosnia and Herzegovina, Wine,0.38,0.37,0.47,0.47,0.48,0.48,0.44
Bosnia and Herzegovina, Spirits,0.55,0.54,0.53,0.54,0.57,0.61,0.62
Bosnia and Herzegovina, Other alcoholic beverages,0.14,0.14,0.14,0.14,0.13,0.13,0.12
Botswana, All types,,6.22,5.47,4.72,5.13,6,5.61
Botswana, Beer,,2.99,2.84,2.54,2.2,2.23,2.34
Botswana, Wine,,1.46,0.86,0.41,0.42,0.55,0.71
Botswana, Spirits,,0.27,0.27,0.27,0.56,1.48,0.63
Botswana, Other alcoholic beverages,,1.49,1.49,1.49,1.95,1.75,1.94
Brazil, All types,6.31,6.97,7.17,7.1,7.31,7.43,7.38
Brazil, Beer,3.9,4.45,4.53,4.36,4.52,4.4,4.34
Brazil, Wine,0.21,0.25,0.27,0.27,0.25,0.42,0.4
Brazil, Spirits,2.16,2.24,2.33,2.44,2.51,2.58,2.61
Brazil, Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Brunei Darussalam, All types,,0.64,0.64,0.64,0.65,0.94,0.87
Brunei Darussalam, Beer,,0.64,0.64,0.64,0.65,0.85,0.82
Brunei Darussalam, Wine,,0,0,0,0,0.05,0.01
Brunei Darussalam, Spirits,,0,0,0,0,0.05,0.03
Brunei Darussalam, Other alcoholic beverages,,0,0,0,0,0,0
Bulgaria, All types,11.49,11.3,10.67,10.74,11.3,11.05,10.83
Bulgaria, Beer,4.45,4.22,4.06,4.26,4.3,4.1,4.01
Bulgaria, Wine,1.97,1.96,1.74,1.53,1.93,1.72,1.73
Bulgaria, Spirits,4.92,4.99,4.76,4.87,4.98,5.16,5.02
Bulgaria, Other alcoholic beverages,0.14,0.13,0.11,0.09,0.08,0.07,0.07
Burkina Faso, All types,,4.87,4.85,4.63,4.64,4.51,4.65
Burkina Faso, Beer,,0.88,0.85,0.67,0.63,0.53,0.46
Burkina Faso, Wine,,0.13,0.14,0.1,0.1,0.18,0.17
Burkina Faso, Spirits,,0.24,0.24,0.24,0.2,0.13,0.12
Burkina Faso, Other alcoholic beverages,,3.62,3.62,3.62,3.7,3.67,3.9
Burundi, All types,,,,,,4.16,4.16
Burundi, Beer,,,,,,1.63,1.59
Burundi, Wine,,,,,,0,0
Burundi, Spirits,,,,,,0,0
Burundi, Other alcoholic beverages,,,,,,2.51,2.56
Cabo Verde, All types,,4.12,3.88,3.53,4.98,5.06,4.73
Cabo Verde, Beer,,2.27,2.27,2.27,2.31,2.81,2.51
Cabo Verde, Wine,,1.85,1.62,1.26,1.52,1.55,1.62
Cabo Verde, Spirits,,0,0,0,1.16,0.7,0.61
Cabo Verde, Other alcoholic beverages,,0,0,0,0,0,0
Cambodia, All types,3.5,3.32,3.04,2.78,2.5,2.38,2.14
Cambodia, Beer,3.08,2.92,2.63,2.37,2.09,1.98,1.75
Cambodia, Wine,0.02,0,0,0,0,0,0
Cambodia, Spirits,0.39,0.39,0.4,0.41,0.41,0.4,0.39
Cambodia, Other alcoholic beverages,0,0,0,0,0,0,0
Cameroon, All types,,6.5,6.71,6.67,6.35,6.12,6.17
Cameroon, Beer,,2.83,3.01,2.98,2.81,2.5,2.53
Cameroon, Wine,,0.09,0.13,0.11,0.11,0.11,0.09
Cameroon, Spirits,,0.01,0.01,0.01,0.02,0,0.01
Cameroon, Other alcoholic beverages,,3.57,3.57,3.57,3.41,3.51,3.54
Canada, All types,8.2,8,8.1,8.2,8.3,8.2,8.4
Canada, Beer,3.7,3.7,3.8,3.9,4,4,4.2
Canada, Wine,2.1,2,2,2,2,1.9,1.9
Canada, Spirits,2.1,2,2,2.1,2.1,2.1,2.1
Canada, Other alcoholic beverages,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Central African Republic, All types,,1.68,1.59,1.46,1.72,1.77,1.82
Central African Republic, Beer,,0.43,0.36,0.22,0.31,0.32,0.29
Central African Republic, Wine,,0.01,0,0,0,0.01,0.02
Central African Republic, Spirits,,0,0,0,0,0.02,0.04
Central African Republic, Other alcoholic beverages,,1.23,1.23,1.23,1.41,1.42,1.48
Chad, All types,,0.69,0.68,0.63,0.63,0.6,0.55
Chad, Beer,,0.48,0.47,0.42,0.37,0.37,0.32
Chad, Wine,,0.01,0.01,0.01,0.04,0.05,0.05
Chad, Spirits,,0.04,0.04,0.04,0.04,0.04,0.03
Chad, Other alcoholic beverages,,0.16,0.16,0.16,0.18,0.14,0.15
Chile, All types,,7.89,7.92,7.23,8.35,7.02,7.55
Chile, Beer,,2.85,2.79,2.67,2.55,2.51,2.35
Chile, Wine,,2.61,2.85,2.37,2.65,2.51,3.1
Chile, Spirits,,2.43,2.28,2.19,3.15,2,2.1
Chile, Other alcoholic beverages,,0,0,0,0,0,0
China, All types,5.74,5.74,5.81,5.81,5.74,5.65,5.75
China, Beer,1.7,1.76,1.88,1.9,1.83,1.77,1.67
China, Wine,0.18,0.17,0.16,0.17,0.18,0.21,0.17
China, Spirits,3.86,3.81,3.76,3.73,3.72,3.67,3.98
China, Other alcoholic beverages,0,0,0,0,0,0,0
Colombia, All types,4.46,4.43,4.3,4.33,4.35,4.29,4.21
Colombia, Beer,3.18,3.13,2.99,2.98,2.99,2.9,2.8
Colombia, Wine,0.05,0.05,0.05,0.05,0.05,0.06,0.07
Colombia, Spirits,1.22,1.23,1.24,1.28,1.29,1.31,1.33
Colombia, Other alcoholic beverages,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Comoros, All types,,,,0.25,0.11,0.12,0.15
Comoros, Beer,,,,0.06,0.03,0.02,0.04
Comoros, Wine,,,,0.08,0.04,0.05,0.03
Comoros, Spirits,,,,0.11,0.04,0.05,0.08
Comoros, Other alcoholic beverages,,,,0,0,0,0
Congo, All types,,4.86,4.93,4.71,4.46,4.34,4.12
Congo, Beer,,4.1,4.13,3.96,3.88,3.76,3.53
Congo, Wine,,0.23,0.24,0.2,0.01,0.01,0.01
Congo, Spirits,,0.5,0.53,0.53,0.54,0.55,0.56
Congo, Other alcoholic beverages,,0.03,0.03,0.03,0.02,0.02,0.02
Cook Islands, All types,,,,15.78,13.67,7.07,13.01
Cook Islands, Beer,,,,5,2.63,2.45,2.1
Cook Islands, Wine,,,,2.54,2.7,1.49,5.06
Cook Islands, Spirits,,,,8.24,8.34,3.12,5.86
Cook Islands, Other alcoholic beverages,,,,0,0,0,0
Costa Rica, All types,3.7,3.63,3.56,3.53,3.43,3.49,3.65
Costa Rica, Beer,2.38,2.31,2.27,2.24,2.23,2.12,2.11
Costa Rica, Wine,0.27,0.27,0.26,0.23,0.2,0.21,0.19
Costa Rica, Spirits,1.03,1.02,1,1.02,0.96,1.12,1.31
Costa Rica, Other alcoholic beverages,0.03,0.03,0.04,0.04,0.04,0.04,0.04
Côte d'Ivoire, All types,,4.79,4.67,4.56,4.69,4.61,4.77
Côte d'Ivoire, Beer,,1.05,0.93,0.8,0.79,0.72,0.7
Côte d'Ivoire, Wine,,0.24,0.25,0.27,0.27,0.27,0.27
Côte d'Ivoire, Spirits,,0.01,0.01,0.01,0.05,0.02,0.02
Côte d'Ivoire, Other alcoholic beverages,,3.49,3.49,3.49,3.59,3.59,3.78
Croatia, All types,10.32,9.89,10.64,11.64,11.92,12.43,12.11
Croatia, Beer,4.59,4.5,4.26,4.62,4.57,4.74,4.5
Croatia, Wine,4.03,3.68,4.67,5.36,5.7,6.05,5.99
Croatia, Spirits,1.34,1.34,1.33,1.28,1.25,1.21,1.2
Croatia, Other alcoholic beverages,0.36,0.36,0.37,0.37,0.4,0.43,0.43
Cuba, All types,4.59,4.6,4.48,4.32,4.15,4.15,4.1
Cuba, Beer,1.71,1.78,1.73,1.69,1.65,1.63,1.61
Cuba, Wine,0.23,0.23,0.23,0.23,0.08,0.08,0.06
Cuba, Spirits,2.63,2.57,2.51,2.38,2.4,2.43,2.42
Cuba, Other alcoholic beverages,0.02,0.02,0.01,0.02,0.02,0.02,0.02
Cyprus, All types,,9.55,9.59,9.04,10.56,10.7,11.32
Cyprus, Beer,,2.84,3.21,3.3,3.48,3.53,3.78
Cyprus, Wine,,2.71,2.78,2.48,2.61,2.56,2.67
Cyprus, Spirits,,4,3.6,3.25,4.47,4.61,4.86
Cyprus, Other alcoholic beverages,,0,0,0,0,0,0
Czechia, All types,12.99,12.82,13.06,12.84,12.97,12.61,12.65
Czechia, Beer,6.92,6.9,7.15,7.15,7.15,6.79,6.79
Czechia, Wine,2.77,2.67,2.7,2.6,2.65,2.58,2.58
Czechia, Spirits,3.3,3.25,3.21,3.09,3.17,3.25,3.28
Czechia, Other alcoholic beverages,0,0,0,0,0,0,0
Democratic People's Republic of Korea, All types,,3.35,3.35,3.35,3.61,3.39,3.12
Democratic People's Republic of Korea, Beer,,0.09,0.09,0.09,0.09,0.15,0.16
Democratic People's Republic of Korea, Wine,,0,0,0,0,0,0
Democratic People's Republic of Korea, Spirits,,3.26,3.26,3.26,3.52,3.24,2.96
Democratic People's Republic of Korea, Other alcoholic beverages,,0,0,0,0,0,0
Democratic Republic of the Congo, All types,,1.39,1.58,1.62,1.72,1.65,1.67
Democratic Republic of the Congo, Beer,,0.54,0.73,0.77,0.68,0.66,0.59
Democratic Republic of the Congo, Wine,,0.01,0.01,0.01,0.2,0.15,0.23
Democratic Republic of the Congo, Spirits,,0.01,0.01,0.01,0.01,0.01,0.04
Democratic Republic of the Congo, Other alcoholic beverages,,0.83,0.83,0.83,0.83,0.83,0.81
Denmark, All types,9.55,9.38,9.53,9.43,9.1,10.22,10.24
Denmark, Beer,3.57,3.49,3.62,3.51,3.52,3.77,3.9
Denmark, Wine,4.27,4.21,4.34,4.35,4.13,4.99,4.88
Denmark, Spirits,1.63,1.68,1.57,1.57,1.46,1.46,1.46
Denmark, Other alcoholic beverages,0.08,0,0,0,0,0,0
Djibouti, All types,0.36,0.37,0.34,0.52,0.47,0.51,0.5
Djibouti, Beer,0.1,0.1,0.08,0.11,0.12,0.2,0.21
Djibouti, Wine,0.06,0.06,0.03,0.17,0.12,0.08,0.05
Djibouti, Spirits,0.2,0.2,0.23,0.23,0.22,0.22,0.23
Djibouti, Other alcoholic beverages,0,0,0,0.01,0.01,0.01,0.01
Dominica, All types,,,,8.41,8.48,5.46,7.45
Dominica, Beer,,,,0.93,0.94,0.11,0.48
Dominica, Wine,,,,0,0,0.48,0.74
Dominica, Spirits,,,,7.47,7.54,4.79,6.16
Dominica, Other alcoholic beverages,,,,0,0,0.09,0.08
Dominican Republic, All types,5.5,6.14,6.02,6.03,6.02,6.01,6.12
Dominican Republic, Beer,2.87,3.49,3.41,3.33,3.29,3.25,3.27
Dominican Republic, Wine,0.24,0.24,0.22,0.2,0.19,0.18,0.16
Dominican Republic, Spirits,2.31,2.34,2.33,2.43,2.48,2.5,2.61
Dominican Republic, Other alcoholic beverages,0.08,0.07,0.06,0.07,0.07,0.07,0.07
Ecuador, All types,3.17,3.67,3.8,3.78,3.92,4,3.96
Ecuador, Beer,2.53,3,3,2.96,2.88,2.78,2.68
Ecuador, Wine,0.05,0.05,0.06,0.05,0.06,0.05,0.05
Ecuador, Spirits,0.56,0.6,0.72,0.75,0.96,1.15,1.21
Ecuador, Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Egypt, All types,0.18,0.18,0.2,0.2,0.2,0.2,0.21
Egypt, Beer,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Egypt, Wine,0.01,0.01,0.02,0.02,0.02,0.02,0.02
Egypt, Spirits,0.06,0.06,0.07,0.06,0.07,0.06,0.07
Egypt, Other alcoholic beverages,0,0,0,0,0,0,0
El Salvador, All types,2.68,2.57,2.47,2.36,2.42,2.31,2.29
El Salvador, Beer,1.28,1.17,1.08,1.05,1.01,0.94,0.92
El Salvador, Wine,0.04,0.04,0.04,0.04,0.03,0.04,0.04
El Salvador, Spirits,1.36,1.35,1.35,1.27,1.38,1.33,1.33
El Salvador, Other alcoholic beverages,0,0,0,0,0,0,0
Equatorial Guinea, All types,,9.85,10.23,10.16,11.65,10.78,9.76
Equatorial Guinea, Beer,,8.17,8.39,8.67,7.82,7.21,6.05
Equatorial Guinea, Wine,,1.68,1.85,1.49,3.83,3.56,3.71
Equatorial Guinea, Spirits,,0,0,0,0,0,0
Equatorial Guinea, Other alcoholic beverages,,0,0,0,0,0,0
Eritrea, All types,,,,,,0.62,0.61
Eritrea, Beer,,,,,,0.38,0.4
Eritrea, Wine,,,,,,0,0
Eritrea, Spirits,,,,,,0,0
Eritrea, Other alcoholic beverages,,,,,,0.23,0.21
Estonia, All types,15.35,16.64,17.29,17.75,16.96,16.27,14.97
Estonia, Beer,5.02,5.44,5.66,5.8,5.55,5.32,4.9
Estonia, Wine,1.14,1.23,1.28,1.31,1.26,1.2,1.11
Estonia, Spirits,7.72,8.37,8.7,8.93,8.53,8.18,7.53
Estonia, Other alcoholic beverages,1.47,1.6,1.65,1.71,1.62,1.57,1.43
Eswatini, All types,,7.38,7.46,6.53,5.54,5.95,5.65
Eswatini, Beer,,1.81,1.71,1.79,1.54,1.63,1.65
Eswatini, Wine,,1.19,1.37,0.37,0.06,0.06,0.05
Eswatini, Spirits,,0,0,0,0,0.13,0.02
Eswatini, Other alcoholic beverages,,4.37,4.37,4.37,3.94,4.12,3.93
Ethiopia, All types,,1.43,1.43,1.43,1.4,0.86,0.88
Ethiopia, Beer,,0.78,0.78,0.78,0.78,0.35,0.36
Ethiopia, Wine,,0,0,0,0,0,0
Ethiopia, Spirits,,0.12,0.12,0.12,0.12,0.05,0.06
Ethiopia, Other alcoholic beverages,,0.53,0.53,0.53,0.5,0.46,0.46
Fiji, All types,,2.21,2.32,2.3,2.24,2.13,2.25
Fiji, Beer,,1.54,1.66,1.64,1.57,1.49,1.35
Fiji, Wine,,0.03,0.03,0.03,0.03,0.02,0.02
Fiji, Spirits,,0.64,0.64,0.64,0.64,0.62,0.88
Fiji, Other alcoholic beverages,,0,0,0,0,0,0
Finland, All types,8.43,8.51,8.75,9.07,9.27,9.81,9.72
Finland, Beer,4.11,4.13,4.17,4.28,4.27,4.61,4.47
Finland, Wine,1.74,1.75,1.8,1.84,1.89,1.74,1.7
Finland, Spirits,1.81,1.84,1.92,2.03,2.15,2.25,2.33
Finland, Other alcoholic beverages,0.77,0.79,0.86,0.92,0.96,1.21,1.22
France, All types,11.74,11.87,11.97,11.64,12.24,12.37,12.33
France, Beer,2.21,2.16,2.26,1.8,2.15,2.1,2.18
France, Wine,6.9,7.09,7.04,7.13,7.33,7.41,7.27
France, Spirits,2.43,2.42,2.47,2.5,2.54,2.64,2.65
France, Other alcoholic beverages,0.2,0.2,0.2,0.21,0.22,0.22,0.23
Gabon, All types,,9.54,9.54,8.7,8.27,8.65,8.86
Gabon, Beer,,7.28,7.25,6.2,5.81,5.78,5.94
Gabon, Wine,,0.88,0.83,0.92,0.91,1.11,1.16
Gabon, Spirits,,1.27,1.35,1.45,1.44,1.69,1.7
Gabon, Other alcoholic beverages,,0.1,0.11,0.12,0.11,0.07,0.06
Gambia, All types,,2.96,2.94,2.89,2.97,2.92,3.06
Gambia, Beer,,0.25,0.25,0.22,0.21,0.17,0.17
Gambia, Wine,,0.06,0.04,0.02,0.02,0.02,0.02
Gambia, Spirits,,0,0,0,0,0.01,0.01
Gambia, Other alcoholic beverages,,2.65,2.65,2.65,2.74,2.72,2.86
Georgia, All types,7.44,7.44,7.23,7.06,7.59,8.68,8.1
Georgia, Beer,1.37,1.37,1.36,1.35,1.26,1.91,1.4
Georgia, Wine,3.2,3.1,2.86,2.72,3.31,3.85,3.81
Georgia, Spirits,2.86,2.97,3.01,2.98,3.02,2.92,2.89
Georgia, Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0,0
Germany, All types,10.9,11.99,11.6,11.67,11.76,11.87,11.35
Germany, Beer,5.74,5.66,5.71,5.71,5.83,5.98,5.91
Germany, Wine,3.1,3.84,3.41,3.55,3.47,3.46,3.29
Germany, Spirits,2.07,2.49,2.48,2.41,2.46,2.43,2.15
Germany, Other alcoholic beverages,,0,0,0,0,0,0
Ghana, All types,,1.56,1.56,1.6,1.79,1.86,1.94
Ghana, Beer,,0.44,0.46,0.43,0.44,0.48,0.48
Ghana, Wine,,0.1,0.09,0.15,0.24,0.21,0.17
Ghana, Spirits,,0.13,0.13,0.13,0.1,0.11,0.04
Ghana, Other alcoholic beverages,,0.89,0.89,0.89,1.01,1.06,1.24
Greece, All types,6.52,6.64,6.99,7.52,7.62,8.03,8.99
Greece, Beer,2.05,2.04,2.09,2.12,2.11,2.1,2.24
Greece, Wine,2.96,3.08,3.32,3.81,3.92,4.21,4.78
Greece, Spirits,1.42,1.44,1.5,1.5,1.49,1.62,1.84
Greece, Other alcoholic beverages,0.08,0.08,0.09,0.09,0.09,0.1,0.13
Grenada, All types,8.88,8.67,8.47,8.37,8.28,8.11,8.18
Grenada, Beer,3.63,3.57,3.56,3.58,3.57,3.55,3.55
Grenada, Wine,0.62,0.62,0.6,0.5,0.42,0.37,0.43
Grenada, Spirits,4.29,4.16,4.01,4.05,4.09,3.99,3.99
Grenada, Other alcoholic beverages,0.34,0.33,0.29,0.24,0.2,0.2,0.2
Guatemala, All types,1.62,1.62,1.65,1.81,1.9,2.02,1.99
Guatemala, Beer,0.91,0.9,0.94,0.92,0.93,0.85,0.82
Guatemala, Wine,0.03,0.04,0.04,0.04,0.04,0.03,0.03
Guatemala, Spirits,0.67,0.67,0.67,0.85,0.93,1.13,1.14
Guatemala, Other alcoholic beverages,0,0,0,0,0,0,0
Guinea, All types,,0.34,0.28,0.22,0.22,0.22,0.2
Guinea, Beer,,0.31,0.26,0.2,0.19,0.18,0.15
Guinea, Wine,,0.03,0.03,0.03,0.03,0.02,0.03
Guinea, Spirits,,0,0,0,0,0.01,0.01
Guinea, Other alcoholic beverages,,0,0,0,0,0.01,0.01
Guinea-Bissau, All types,,2.81,2.8,2.69,2.83,2.96,2.83
Guinea-Bissau, Beer,,0.39,0.39,0.39,0.45,0.49,0.43
Guinea-Bissau, Wine,,0.88,0.86,0.76,0.89,0.89,0.69
Guinea-Bissau, Spirits,,0.39,0.39,0.39,0.4,0.51,0.52
Guinea-Bissau, Other alcoholic beverages,,1.16,1.16,1.16,1.09,1.07,1.2
Guyana, All types,5.31,4.75,5.2,5.11,5.13,5.11,5.08
Guyana, Beer,2.57,1.86,1.86,1.84,1.81,1.75,1.71
Guyana, Wine,0.01,0.02,0.02,0.02,0.02,0.03,0.02
Guyana, Spirits,2.7,2.85,3.29,3.21,3.27,3.3,3.32
Guyana, Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Haiti, All types,,5.81,5.81,5.81,5.81,5.71,5.77
Haiti, Beer,,0.13,0.13,0.13,0.13,0.12,0.11
Haiti, Wine,,0.02,0.02,0.02,0.02,0.01,0.01
Haiti, Spirits,,5.65,5.65,5.65,5.65,5.57,5.65
Haiti, Other alcoholic beverages,,0.01,0.01,0.01,0.01,0.01,0.01
Honduras, All types,2.86,2.84,2.64,2.92,2.92,2.94,2.91
Honduras, Beer,1.33,1.33,1.24,1.24,1.23,1.21,1.16
Honduras, Wine,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Honduras, Spirits,1.49,1.47,1.37,1.65,1.67,1.69,1.71
Honduras, Other alcoholic beverages,0,0,0,0,0,0,0
Hungary, All types,,10.9,10.88,10.7,11.14,11.35,10.75
Hungary, Beer,,3.93,3.9,3.77,4.06,4.04,3.91
Hungary, Wine,,3.41,2.9,3.2,3.2,3.49,3.16
Hungary, Spirits,,3.57,4.08,3.73,3.88,3.82,3.68
Hungary, Other alcoholic beverages,,,,0,0,0,0
Iceland, All types,7.5,7.66,7.01,6.8,6.82,6.84,6.79
Iceland, Beer,4.24,4.26,3.87,3.74,3.78,3.68,3.71
Iceland, Wine,2.09,2.15,2.02,1.96,1.95,1.9,1.87
Iceland, Spirits,1.16,1.25,1.13,1.1,1.1,1.26,1.21
